,0
5,hpa
0,wind_speed
0,r7_km
6,r10_km
0,alert_level
0,duration_h
8,p2
28,p5
23,p6
0,p1
0,p2
0,p3
5,p4
0,p5
0,p6
4,p7
0,p8
0,p9
0,p10
14,pole_counts
24,area
6,population_density
3,st_height
0,pole_counts
5,people_total
0,area
0,population_density
0,st_height
5,mean_accu_hour_rain
2,mean_accu_day_rain
1,accu_rain
4,heavy_rain_count_rule1
3,heavy_rain_count_rule2
3,how_rain_count_rule1
0,big_how_rain_count
0,big_big_how_rain_count
0,max_hour_accu_rain
0,max_day_accu_rain
1,mean_hr_wsmax
0,mean_hr_wsgust
0,max_hr_wsmax
2,max_hr_wsgust
20,total_daily_sum_WSMax
4,total_daily_sum_WSGust
1,total_wind_direction_m
0,total_wind_direction_g
8,mean_wdmax
2,mean_wdgust
3,mean_WSDmax
1,max_WSDmax
0,mean_WSDgust
0,max_WSDgust
0,landslide_alert
2,greater_than_five
1,one_to_four
0,none
3,river_num
0,mean_accu_3hour_rain
0,mean_accu_6hour_rain
1,mean_accu_12hour_rain
0,max_accu_3hour_rain
1,max_accu_6hour_rain
0,max_accu_12hour_rain
8,how_rain_count_rule2
0,year_2014.0
0,year_2015.0
0,year_2016.0
0,year_2017.0
0,type_0
10,type_2
5,type_3
0,type_4
1,type_7
0,type_10
0,arrive_month_6
3,arrive_month_7
12,arrive_month_8
0,arrive_month_9
0,arrive_hour_5
1,arrive_hour_8
0,arrive_hour_11
0,arrive_hour_14
0,arrive_hour_17
0,arrive_hour_23
1,arrive_weekday_0
0,arrive_weekday_2
0,arrive_weekday_3
0,arrive_weekday_4
0,arrive_weekday_5
0,arrive_weekday_6
0,arrive_week_24
0,arrive_week_27
0,arrive_week_28
0,arrive_week_30
0,arrive_week_32
0,arrive_week_37
0,arrive_week_38
0,arrive_week_39
2,magnitude
0,magnitude
0,region_cluster_0
0,region_cluster_1
1,region_cluster_2
0,region_cluster_3
0,region_cluster_4
7,region_cluster_5
4,region_cluster_6
0,region_cluster_7
0,region_cluster_8
0,region_cluster_9
0,region_cluster_10
0,region_cluster_11
0,region_cluster_12
5,region_cluster_13
7,region_cluster_14
0,region_cluster_15
0,region_cluster_16
0,region_cluster_17
0,region_cluster_18
19,region_cluster_19
5,double_kill_0
0,double_kill_1
