,0
hpa,19
wind_speed,0
r7_km,20
r10_km,0
alert_level,0
duration_h,0
p1,0
p2,20
p3,0
p4,5
p5,51
p6,68
p7,10
p8,0
p9,0
p10,0
pole_counts,47
people_total,52
area,34
population_density,40
year_2014.0,0
year_2015.0,0
year_2016.0,0
year_2017.0,0
type_0,0
type_2,20
type_3,0
type_4,0
type_7,0
type_10,0
magnitude_1,0
magnitude_2,0
magnitude_3,0
arrive_month_6,0
arrive_month_7,0
arrive_month_8,0
arrive_month_9,0
arrive_hour_5,0
arrive_hour_8,0
arrive_hour_11,0
arrive_hour_14,0
arrive_hour_17,0
arrive_hour_23,0
arrive_weekday_0,16
arrive_weekday_2,0
arrive_weekday_3,0
arrive_weekday_4,0
arrive_weekday_5,0
arrive_weekday_6,0
arrive_week_24,0
arrive_week_27,0
arrive_week_28,0
arrive_week_30,0
arrive_week_32,0
arrive_week_37,0
arrive_week_38,0
arrive_week_39,0
stname_七股,0
stname_五分山雷達站,0
stname_嘉義,2
stname_基隆,8
stname_墾丁雷達站,0
stname_大武,0
stname_宜蘭,21
stname_彭佳嶼,0
stname_恆春,6
stname_成功,1
stname_新屋,16
stname_新竹,7
stname_日月潭,0
stname_東吉島,0
stname_板橋,0
stname_梧棲,25
stname_永康,6
stname_淡水,19
stname_澎湖,0
stname_玉山,0
stname_竹子湖,8
stname_臺中,8
stname_臺北,2
stname_臺南,4
stname_臺東,2
stname_花蓮,0
stname_蘇澳,19
stname_蘭嶼,0
stname_金門,0
stname_阿里山,0
stname_鞍部,12
stname_馬祖,0
stname_高雄,32
double_kill_0,0
double_kill_1,0
