CityName,TownName,VilCode,VilName,NesatAndHaitang,Megi
台北市,松山區,6300100-002,莊敬里,124.885,150.0675
台北市,松山區,6300100-003,東榮里,102.745,31.425
台北市,松山區,6300100-004,三民里,102.745,31.425
台北市,松山區,6300100-005,新益里,97.5375,32.67
台北市,松山區,6300100-006,富錦里,97.06,30.7725
台北市,松山區,6300100-007,新東里,103.635,34.25
台北市,松山區,6300100-008,富泰里,97.06,30.7725
台北市,松山區,6300100-009,介壽里,102.745,33.7625
台北市,松山區,6300100-010,精忠里,94.2375,42.095
台北市,松山區,6300100-011,東光里,102.745,34.3325
台北市,松山區,6300100-012,龍田里,89.2575,39.94
台北市,松山區,6300100-013,東昌里,102.745,33.7625
台北市,松山區,6300100-014,東勢里,99.6925,33.6
台北市,松山區,6300100-015,中華里,97.06,31.2175
台北市,松山區,6300100-016,民有里,99.6925,28.895
台北市,松山區,6300100-017,民福里,94.75,57.81
台北市,松山區,6300100-018,慈祐里,91.65,41.215
台北市,松山區,6300100-019,安平里,101.5825,40.9175
台北市,松山區,6300100-020,鵬程里,92.695,34.8425
台北市,松山區,6300100-021,自強里,99.6925,35.5025
台北市,松山區,6300100-022,吉祥里,97.49,43.265
台北市,松山區,6300100-024,新聚里,102.745,33.41
台北市,松山區,6300100-025,復盛里,97.06,34.65
台北市,松山區,6300100-026,中正里,99.6925,33.445
台北市,松山區,6300100-027,中崙里,104.4375,33.41
台北市,松山區,6300100-028,美仁里,97.06,34.65
台北市,松山區,6300100-029,吉仁里,97.58,34.65
台北市,松山區,6300100-030,敦化里,103.135,33.41
台北市,松山區,6300100-031,復源里,102.745,33.41
台北市,松山區,6300100-032,復建里,99.6925,32.635
台北市,松山區,6300100-033,復勢里,102.76,51.4475
台北市,松山區,6300100-034,福成里,97.19,34.65
台北市,松山區,6300100-035,松基里,102.745,33.7625
台北市,信義區,6300200-001,西村里,116.62,44.35
台北市,信義區,6300200-002,正和里,116.62,43.5775
台北市,信義區,6300200-003,興隆里,116.62,72.2175
台北市,信義區,6300200-004,中興里,112.395,41.9325
台北市,信義區,6300200-005,新仁里,96.905,31.1975
台北市,信義區,6300200-006,興雅里,109.5075,45.4325
台北市,信義區,6300200-007,敦厚里,99.22,43.675
台北市,信義區,6300200-008,廣居里,112.7375,110.505
台北市,信義區,6300200-009,安康里,109.5675,43.5775
台北市,信義區,6300200-010,六藝里,109.5075,36.36
台北市,信義區,6300200-011,雅祥里,112.4625,38.27
台北市,信義區,6300200-012,五常里,109.5075,28.88
台北市,信義區,6300200-013,五全里,103.0425,35.9325
台北市,信義區,6300200-014,永吉里,99.22,34.6825
台北市,信義區,6300200-015,長春里,109.5025,52.215
台北市,信義區,6300200-016,四育里,96.905,31.1975
台北市,信義區,6300200-017,四維里,109.5025,39.225
台北市,信義區,6300200-018,永春里,109.5075,36.36
台北市,信義區,6300200-019,富臺里,109.5025,55.4125
台北市,信義區,6300200-020,國業里,109.7625,45.4975
台北市,信義區,6300200-021,松隆里,516.0625,522.97
台北市,信義區,6300200-022,松友里,90.595,127.305
台北市,信義區,6300200-023,松光里,103.0425,109.0525
台北市,信義區,6300200-024,中坡里,103.2425,219.625
台北市,信義區,6300200-025,中行里,139.975,233.805
台北市,信義區,6300200-026,大道里,109.5025,52.215
台北市,信義區,6300200-027,大仁里,109.5025,72.2175
台北市,信義區,6300200-028,景新里,103.765,54.41
台北市,信義區,6300200-029,惠安里,96.28,254.51
台北市,信義區,6300200-030,三張里,103.765,72.0875
台北市,信義區,6300200-031,三犁里,119.9925,223.61
