CityName,TownName,VilCode,VilName,NesatAndHaitang,Megi
台北市,松山區,6300100-002,莊敬里,32.7484313334,44.9974331825
台北市,松山區,6300100-003,東榮里,32.1786728913,31.7024835336
台北市,松山區,6300100-004,三民里,32.1786728913,31.7024835336
台北市,松山區,6300100-005,新益里,32.1786728913,31.3661317218
台北市,松山區,6300100-006,富錦里,32.1786728913,31.3661317218
台北市,松山區,6300100-007,新東里,32.1786728913,31.5269639774
台北市,松山區,6300100-008,富泰里,32.1786728913,31.3661317218
台北市,松山區,6300100-009,介壽里,32.1786728913,31.7024835336
台北市,松山區,6300100-010,精忠里,32.1786728913,31.3661317218
台北市,松山區,6300100-011,東光里,32.1786728913,31.7024835336
台北市,松山區,6300100-012,龍田里,32.1786728913,31.5671420803
台北市,松山區,6300100-013,東昌里,32.1786728913,31.7024835336
台北市,松山區,6300100-014,東勢里,32.1786728913,31.3661317218
台北市,松山區,6300100-015,中華里,32.1786728913,31.3661317218
台北市,松山區,6300100-016,民有里,32.1786728913,31.3661317218
台北市,松山區,6300100-017,民福里,32.3056410115,38.7021462686
台北市,松山區,6300100-018,慈祐里,32.1786728913,31.727974336
台北市,松山區,6300100-019,安平里,32.1786728913,31.5269639774
台北市,松山區,6300100-020,鵬程里,32.1786728913,32.2761730445
台北市,松山區,6300100-021,自強里,32.1786728913,31.3661317218
台北市,松山區,6300100-022,吉祥里,32.3056410115,108.853981208
台北市,松山區,6300100-024,新聚里,32.1786728913,31.7024835336
台北市,松山區,6300100-025,復盛里,32.1786728913,31.3661317218
台北市,松山區,6300100-026,中正里,32.1786728913,31.3661317218
台北市,松山區,6300100-027,中崙里,32.1786728913,31.7024835336
台北市,松山區,6300100-028,美仁里,32.1786728913,31.3661317218
台北市,松山區,6300100-029,吉仁里,32.1786728913,31.3661317218
台北市,松山區,6300100-030,敦化里,32.1786728913,31.7024835336
台北市,松山區,6300100-031,復源里,32.1786728913,31.7024835336
台北市,松山區,6300100-032,復建里,32.1786728913,31.3661317218
台北市,松山區,6300100-033,復勢里,32.1786728913,31.5269639774
台北市,松山區,6300100-034,福成里,32.1786728913,31.3661317218
台北市,松山區,6300100-035,松基里,32.1786728913,31.7024835336
台北市,信義區,6300200-001,西村里,42.0153341017,31.9744970282
台北市,信義區,6300200-002,正和里,42.0153341017,31.9744970282
台北市,信義區,6300200-003,興隆里,42.0153341017,31.9744970282
台北市,信義區,6300200-004,中興里,42.0153341017,31.5132579436
台北市,信義區,6300200-005,新仁里,42.0153341017,31.5132579436
台北市,信義區,6300200-006,興雅里,42.0153341017,31.5132579436
台北市,信義區,6300200-007,敦厚里,42.0153341017,31.5132579436
台北市,信義區,6300200-008,廣居里,42.0153341017,31.6381452163
台北市,信義區,6300200-009,安康里,42.0153341017,31.9744970282
台北市,信義區,6300200-010,六藝里,42.0153341017,31.5132579436
台北市,信義區,6300200-011,雅祥里,42.0153341017,31.6740901993
台北市,信義區,6300200-012,五常里,42.0153341017,31.5132579436
