ObsTime,WDGust,WDMax,WSGust,WSMax,num,stno,typhoon_cht_name,typhoon_name
2015-09-27 08:00:00,190,200.0,2.4,1.0,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 09:00:00,220,220.0,2.7,1.1,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 10:00:00,330,310.0,4.2,2.2,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 11:00:00,70,50.0,2.7,1.1,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 12:00:00,240,240.0,2.7,1.6,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 13:00:00,30,50.0,3.4,2.1,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 14:00:00,260,240.0,2.2,0.5,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 15:00:00,200,220.0,2.4,0.6,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 16:00:00,230,250.0,2.1,0.8,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 17:00:00,310,320.0,2.7,0.8,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 18:00:00,50,20.0,1.9,0.4,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 19:00:00,210,220.0,2.4,0.8,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 20:00:00,190,210.0,2.7,0.8,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 21:00:00,190,210.0,2.5,0.8,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 22:00:00,180,210.0,3.4,1.0,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 23:00:00,190,190.0,2.7,1.7,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 23:59:00,20,60.0,4.0,1.9,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 01:00:00,40,50.0,6.7,3.6,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 02:00:00,30,50.0,6.2,3.5,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 03:00:00,90,60.0,6.3,3.4,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 04:00:00,10,40.0,7.7,3.3,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 05:00:00,30,40.0,3.5,2.0,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 06:00:00,50,60.0,1.5,0.3,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 07:00:00,90,90.0,2.2,0.8,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 08:00:00,80,60.0,8.1,4.1,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 09:00:00,70,60.0,12.4,6.3,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 10:00:00,70,70.0,14.6,7.1,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 11:00:00,50,60.0,15.0,7.3,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 12:00:00,50,60.0,17.1,8.5,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 13:00:00,80,60.0,16.9,9.8,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 14:00:00,40,60.0,17.1,9.2,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 15:00:00,40,60.0,17.6,9.3,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 16:00:00,40,60.0,20.3,9.2,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 17:00:00,20,50.0,29.6,12.7,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 18:00:00,90,60.0,33.8,16.5,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 19:00:00,70,60.0,29.5,15.4,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 20:00:00,80,60.0,22.0,10.6,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 21:00:00,80,60.0,17.1,10.1,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 22:00:00,80,60.0,21.6,9.9,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 23:00:00,90,70.0,19.6,8.9,201521,466880,§ùÃY,2015DUJUAN
2015-09-28 23:59:00,40,70.0,18.8,7.9,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 01:00:00,60,60.0,17.1,6.7,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 02:00:00,40,60.0,19.5,7.2,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 03:00:00,50,60.0,15.9,4.0,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 04:00:00,30,50.0,15.6,3.8,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 05:00:00,40,60.0,13.7,4.0,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 06:00:00,60,70.0,8.4,2.6,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 07:00:00,110,40.0,5.8,1.2,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 08:00:00,180,240.0,4.9,1.9,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 09:00:00,180,200.0,3.3,1.7,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 10:00:00,180,210.0,3.8,1.0,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 11:00:00,230,220.0,2.8,1.1,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 12:00:00,200,220.0,3.4,1.3,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 13:00:00,50,40.0,4.3,2.0,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 14:00:00,200,290.0,2.6,0.6,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 15:00:00,190,250.0,3.7,1.5,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 16:00:00,350,10.0,3.6,1.4,201521,466880,§ùÃY,2015DUJUAN
2015-09-29 17:00:00,330,10.0,2.8,1.2,201521,466880,§ùÃY,2015DUJUAN
2015-09-27 08:00:00,20,30.0,7.6,2.9,201521,466900,§ùÃY,2015DUJUAN
2015-09-27 09:00:00,70,10.0,6.7,2.5,201521,466900,§ùÃY,2015DUJUAN
