ObsTime,WDGust,WDMax,WSGust,WSMax,num,stno,typhoon_cht_name,typhoon_name
2014-09-19 08:00:00,70,70.0,8.6,4.8,201416,466880,获澳,2014FUNG-WONG
2014-09-19 09:00:00,70,60.0,10.0,4.4,201416,466880,获澳,2014FUNG-WONG
2014-09-19 10:00:00,40,60.0,9.7,4.5,201416,466880,获澳,2014FUNG-WONG
2014-09-19 11:00:00,30,60.0,9.2,4.6,201416,466880,获澳,2014FUNG-WONG
2014-09-19 12:00:00,70,70.0,10.9,5.1,201416,466880,获澳,2014FUNG-WONG
2014-09-19 13:00:00,70,70.0,11.8,5.1,201416,466880,获澳,2014FUNG-WONG
2014-09-19 14:00:00,70,60.0,11.0,4.8,201416,466880,获澳,2014FUNG-WONG
2014-09-19 15:00:00,50,60.0,11.0,4.9,201416,466880,获澳,2014FUNG-WONG
2014-09-19 16:00:00,60,60.0,10.6,4.5,201416,466880,获澳,2014FUNG-WONG
2014-09-19 17:00:00,50,60.0,11.1,4.4,201416,466880,获澳,2014FUNG-WONG
2014-09-19 18:00:00,60,70.0,8.7,4.4,201416,466880,获澳,2014FUNG-WONG
2014-09-19 19:00:00,80,70.0,8.6,4.7,201416,466880,获澳,2014FUNG-WONG
2014-09-19 20:00:00,70,70.0,9.3,5.1,201416,466880,获澳,2014FUNG-WONG
2014-09-19 21:00:00,50,70.0,8.6,4.5,201416,466880,获澳,2014FUNG-WONG
2014-09-19 22:00:00,70,70.0,8.0,4.0,201416,466880,获澳,2014FUNG-WONG
2014-09-19 23:00:00,80,60.0,7.3,3.7,201416,466880,获澳,2014FUNG-WONG
2014-09-19 23:59:00,80,60.0,7.3,3.8,201416,466880,获澳,2014FUNG-WONG
2014-09-20 01:00:00,80,60.0,7.0,3.7,201416,466880,获澳,2014FUNG-WONG
2014-09-20 02:00:00,60,50.0,6.2,3.5,201416,466880,获澳,2014FUNG-WONG
2014-09-20 03:00:00,70,70.0,7.6,3.7,201416,466880,获澳,2014FUNG-WONG
2014-09-20 04:00:00,70,70.0,7.7,4.5,201416,466880,获澳,2014FUNG-WONG
2014-09-20 05:00:00,60,60.0,6.9,3.5,201416,466880,获澳,2014FUNG-WONG
2014-09-20 06:00:00,70,60.0,7.4,3.2,201416,466880,获澳,2014FUNG-WONG
2014-09-20 07:00:00,90,60.0,7.2,4.3,201416,466880,获澳,2014FUNG-WONG
2014-09-20 08:00:00,90,60.0,8.8,4.7,201416,466880,获澳,2014FUNG-WONG
2014-09-20 09:00:00,50,60.0,8.6,4.8,201416,466880,获澳,2014FUNG-WONG
2014-09-20 10:00:00,60,60.0,8.1,4.0,201416,466880,获澳,2014FUNG-WONG
2014-09-20 11:00:00,80,60.0,7.9,4.3,201416,466880,获澳,2014FUNG-WONG
2014-09-20 12:00:00,50,60.0,8.6,4.4,201416,466880,获澳,2014FUNG-WONG
2014-09-20 13:00:00,70,70.0,10.1,4.7,201416,466880,获澳,2014FUNG-WONG
2014-09-20 14:00:00,70,70.0,10.5,5.5,201416,466880,获澳,2014FUNG-WONG
2014-09-20 15:00:00,70,80.0,10.4,6.0,201416,466880,获澳,2014FUNG-WONG
2014-09-20 16:00:00,80,70.0,9.8,5.2,201416,466880,获澳,2014FUNG-WONG
