ObsTime,WDGust,WDMax,WSGust,WSMax,num,stno,typhoon_cht_name,typhoon_name
2016-09-25 23:00:00,90,80.0,4.7,2.6,201617,466880,±ö®V,2016MEGI
2016-09-25 23:59:00,80,80.0,5.6,2.8,201617,466880,±ö®V,2016MEGI
2016-09-26 01:00:00,60,70.0,5.3,2.7,201617,466880,±ö®V,2016MEGI
2016-09-26 02:00:00,70,70.0,5.0,2.7,201617,466880,±ö®V,2016MEGI
2016-09-26 03:00:00,80,80.0,6.3,3.0,201617,466880,±ö®V,2016MEGI
2016-09-26 04:00:00,80,80.0,4.5,2.6,201617,466880,±ö®V,2016MEGI
2016-09-26 05:00:00,90,80.0,4.1,2.0,201617,466880,±ö®V,2016MEGI
2016-09-26 06:00:00,70,70.0,4.2,2.0,201617,466880,±ö®V,2016MEGI
2016-09-26 07:00:00,90,70.0,4.9,2.7,201617,466880,±ö®V,2016MEGI
2016-09-26 08:00:00,80,70.0,4.0,2.0,201617,466880,±ö®V,2016MEGI
2016-09-26 09:00:00,80,70.0,5.3,2.4,201617,466880,±ö®V,2016MEGI
2016-09-26 10:00:00,90,70.0,6.2,2.5,201617,466880,±ö®V,2016MEGI
2016-09-26 11:00:00,50,80.0,6.1,3.0,201617,466880,±ö®V,2016MEGI
2016-09-26 12:00:00,80,80.0,7.6,3.6,201617,466880,±ö®V,2016MEGI
2016-09-26 13:00:00,80,80.0,10.1,4.5,201617,466880,±ö®V,2016MEGI
2016-09-26 14:00:00,70,70.0,11.6,5.1,201617,466880,±ö®V,2016MEGI
2016-09-26 15:00:00,80,70.0,8.2,4.5,201617,466880,±ö®V,2016MEGI
2016-09-26 16:00:00,60,50.0,8.6,4.8,201617,466880,±ö®V,2016MEGI
2016-09-26 17:00:00,70,60.0,8.4,5.0,201617,466880,±ö®V,2016MEGI
2016-09-26 18:00:00,80,70.0,11.2,4.1,201617,466880,±ö®V,2016MEGI
2016-09-26 19:00:00,70,70.0,6.7,3.6,201617,466880,±ö®V,2016MEGI
2016-09-26 20:00:00,80,70.0,7.3,4.2,201617,466880,±ö®V,2016MEGI
2016-09-26 21:00:00,80,70.0,9.8,5.3,201617,466880,±ö®V,2016MEGI
2016-09-26 22:00:00,70,70.0,9.6,5.3,201617,466880,±ö®V,2016MEGI
2016-09-26 23:00:00,80,70.0,9.9,5.3,201617,466880,±ö®V,2016MEGI
2016-09-26 23:59:00,80,70.0,10.4,5.4,201617,466880,±ö®V,2016MEGI
2016-09-27 01:00:00,60,70.0,11.9,6.0,201617,466880,±ö®V,2016MEGI
2016-09-27 02:00:00,80,70.0,11.7,6.8,201617,466880,±ö®V,2016MEGI
2016-09-27 03:00:00,60,70.0,12.2,6.4,201617,466880,±ö®V,2016MEGI
2016-09-27 04:00:00,70,70.0,11.6,6.1,201617,466880,±ö®V,2016MEGI
2016-09-27 05:00:00,40,70.0,13.3,7.6,201617,466880,±ö®V,2016MEGI
2016-09-27 06:00:00,90,80.0,14.4,8.2,201617,466880,±ö®V,2016MEGI
2016-09-27 07:00:00,50,70.0,14.9,7.6,201617,466880,±ö®V,2016MEGI
2016-09-27 08:00:00,40,70.0,16.6,9.2,201617,466880,±ö®V,2016MEGI
2016-09-27 09:00:00,90,70.0,19.9,10.1,201617,466880,±ö®V,2016MEGI
2016-09-27 10:00:00,90,70.0,18.9,9.9,201617,466880,±ö®V,2016MEGI
2016-09-27 11:00:00,80,70.0,26.6,13.7,201617,466880,±ö®V,2016MEGI
2016-09-27 12:00:00,90,70.0,23.0,13.2,201617,466880,±ö®V,2016MEGI
2016-09-27 13:00:00,90,70.0,28.1,15.3,201617,466880,±ö®V,2016MEGI
2016-09-27 14:00:00,70,70.0,34.9,17.1,201617,466880,±ö®V,2016MEGI
2016-09-27 15:00:00,60,70.0,29.9,17.6,201617,466880,±ö®V,2016MEGI
2016-09-27 16:00:00,40,70.0,27.1,11.7,201617,466880,±ö®V,2016MEGI
2016-09-27 17:00:00,60,70.0,24.9,11.7,201617,466880,±ö®V,2016MEGI
2016-09-27 18:00:00,40,70.0,27.2,10.8,201617,466880,±ö®V,2016MEGI
2016-09-27 19:00:00,60,80.0,26.1,10.1,201617,466880,±ö®V,2016MEGI
2016-09-27 20:00:00,70,70.0,21.1,8.1,201617,466880,±ö®V,2016MEGI
2016-09-27 21:00:00,60,70.0,24.6,7.5,201617,466880,±ö®V,2016MEGI
2016-09-27 22:00:00,80,70.0,18.6,6.7,201617,466880,±ö®V,2016MEGI
2016-09-27 23:00:00,60,70.0,19.6,7.0,201617,466880,±ö®V,2016MEGI
2016-09-27 23:59:00,60,50.0,21.1,5.8,201617,466880,±ö®V,2016MEGI
2016-09-28 01:00:00,70,60.0,11.5,4.6,201617,466880,±ö®V,2016MEGI
2016-09-28 02:00:00,340,40.0,9.6,3.0,201617,466880,±ö®V,2016MEGI
2016-09-28 03:00:00,50,320.0,9.3,2.3,201617,466880,±ö®V,2016MEGI
2016-09-28 04:00:00,80,40.0,6.7,2.2,201617,466880,±ö®V,2016MEGI
2016-09-28 05:00:00,230,220.0,5.7,2.5,201617,466880,±ö®V,2016MEGI
2016-09-28 06:00:00,70,60.0,6.0,3.3,201617,466880,±ö®V,2016MEGI
2016-09-28 07:00:00,250,70.0,5.5,3.0,201617,466880,±ö®V,2016MEGI
2016-09-28 08:00:00,170,210.0,3.9,1.4,201617,466880,±ö®V,2016MEGI
2016-09-28 09:00:00,220,180.0,3.5,1.6,201617,466880,±ö®V,2016MEGI
2016-09-28 10:00:00,250,200.0,2.2,1.0,201617,466880,±ö®V,2016MEGI
2016-09-28 11:00:00,190,200.0,3.3,1.6,201617,466880,±ö®V,2016MEGI
2016-09-28 12:00:00,190,210.0,2.7,1.0,201617,466880,±ö®V,2016MEGI
2016-09-28 13:00:00,210,240.0,3.7,2.3,201617,466880,±ö®V,2016MEGI
2016-09-28 14:00:00,200,230.0,4.3,2.6,201617,466880,±ö®V,2016MEGI
