ObsTime,WDGust,WDMax,WSGust,WSMax,num,stno,typhoon_cht_name,typhoon_name
2016-09-12 23:00:00,180,200.0,1.6,0.6,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-12 23:59:00,240,250.0,1.9,1.1,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 01:00:00,250,250.0,1.6,0.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 02:00:00,100,50.0,2.4,1.1,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 03:00:00,80,70.0,3.5,2.0,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 04:00:00,250,260.0,1.4,0.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 05:00:00,280,270.0,1.5,0.6,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 06:00:00,30,60.0,1.6,0.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 07:00:00,190,190.0,2.6,1.2,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 08:00:00,240,220.0,1.8,0.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 09:00:00,80,250.0,2.8,1.5,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 10:00:00,60,70.0,3.2,1.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 11:00:00,60,70.0,7.2,3.5,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 12:00:00,70,70.0,9.4,4.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 13:00:00,80,70.0,10.6,5.1,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 14:00:00,90,70.0,8.6,4.7,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 15:00:00,80,80.0,10.3,4.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 16:00:00,70,70.0,9.8,4.3,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 17:00:00,60,70.0,8.6,4.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 18:00:00,80,70.0,11.5,6.2,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 19:00:00,80,70.0,8.9,4.0,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 20:00:00,50,70.0,10.1,4.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 21:00:00,70,60.0,9.2,3.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 22:00:00,60,70.0,9.8,4.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 23:00:00,70,70.0,9.9,3.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-13 23:59:00,70,80.0,7.8,4.1,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 01:00:00,80,80.0,9.6,4.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 02:00:00,80,80.0,12.6,5.3,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 03:00:00,70,80.0,10.8,4.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 04:00:00,40,80.0,10.2,5.1,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 05:00:00,80,70.0,11.9,5.3,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 06:00:00,90,70.0,12.2,5.1,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 07:00:00,60,70.0,13.0,5.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 08:00:00,80,70.0,12.1,5.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 09:00:00,80,70.0,11.4,5.2,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 10:00:00,90,80.0,13.8,5.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 11:00:00,80,70.0,17.7,5.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 12:00:00,80,70.0,13.4,6.0,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 13:00:00,70,70.0,14.3,6.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 14:00:00,70,70.0,13.0,5.5,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 15:00:00,50,70.0,15.1,5.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 16:00:00,60,60.0,14.4,6.3,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 17:00:00,50,60.0,12.3,6.1,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 18:00:00,120,70.0,12.7,4.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 19:00:00,50,70.0,9.0,3.6,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 20:00:00,110,70.0,11.1,3.3,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 21:00:00,40,50.0,13.1,3.0,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 22:00:00,80,50.0,9.6,2.6,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 23:00:00,130,60.0,6.8,2.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-14 23:59:00,80,70.0,7.8,2.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 01:00:00,40,70.0,8.9,4.2,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 02:00:00,50,80.0,7.3,2.9,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 03:00:00,70,50.0,4.5,1.5,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 04:00:00,50,80.0,5.3,1.6,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 05:00:00,130,70.0,5.8,1.6,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 06:00:00,180,200.0,2.5,1.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 07:00:00,190,200.0,3.8,1.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 08:00:00,210,200.0,2.9,1.8,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 09:00:00,180,210.0,3.9,1.4,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 10:00:00,200,210.0,2.6,1.1,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-15 11:00:00,250,260.0,1.7,0.7,201614,466880,²öÄõ¸¦,2016MERANTI
2016-09-12 23:00:00,360,10.0,6.6,2.9,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-12 23:59:00,20,10.0,7.9,3.5,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 01:00:00,30,20.0,6.6,2.2,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 02:00:00,30,20.0,5.8,2.5,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 03:00:00,20,10.0,5.2,2.2,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 04:00:00,60,20.0,4.3,1.9,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 05:00:00,90,50.0,1.6,1.0,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 06:00:00,360,10.0,4.1,1.9,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 07:00:00,360,10.0,4.2,2.1,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 08:00:00,340,30.0,3.4,1.3,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 09:00:00,20,360.0,3.7,1.8,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 10:00:00,350,10.0,3.9,1.8,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 11:00:00,340,20.0,3.7,1.9,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 12:00:00,100,140.0,5.2,1.9,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 13:00:00,140,140.0,7.6,3.2,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 14:00:00,130,130.0,7.7,3.1,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 15:00:00,120,120.0,7.8,2.7,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 16:00:00,140,120.0,11.0,3.9,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 17:00:00,190,120.0,7.7,2.8,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 18:00:00,80,120.0,7.8,2.7,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 19:00:00,130,130.0,9.4,4.0,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 20:00:00,160,130.0,7.6,2.7,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 21:00:00,110,120.0,8.7,3.3,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 22:00:00,160,140.0,7.4,3.2,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 23:00:00,140,130.0,10.8,3.8,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-13 23:59:00,170,130.0,8.9,2.8,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 01:00:00,60,130.0,6.7,2.4,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 02:00:00,110,100.0,8.5,2.4,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 03:00:00,120,100.0,8.7,2.7,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 04:00:00,130,130.0,10.9,3.6,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 05:00:00,150,120.0,13.6,4.4,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 06:00:00,180,130.0,11.9,3.9,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 07:00:00,90,100.0,15.9,4.0,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 08:00:00,130,110.0,10.9,3.4,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 09:00:00,80,90.0,13.7,4.2,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 10:00:00,130,100.0,12.6,3.3,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 11:00:00,50,120.0,13.4,4.1,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 12:00:00,110,110.0,17.5,4.8,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 13:00:00,150,110.0,12.8,4.6,201614,466900,²öÄõ¸¦,2016MERANTI
2016-09-14 14:00:00,120,110.0,18.3,5.4,201614,466900,²öÄõ¸¦,2016MERANTI
