ObsTime,WDGust,WDMax,WSGust,WSMax,num,stno,typhoon_cht_name,typhoon_name
2016-07-06 14:00:00,90.0,70.0,8.7,4.2,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 15:00:00,80.0,80.0,10.2,4.6,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 16:00:00,60.0,80.0,8.7,4.2,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 17:00:00,90.0,70.0,8.4,3.9,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 18:00:00,90.0,70.0,8.8,4.2,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 19:00:00,80.0,70.0,8.0,3.7,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 20:00:00,90.0,70.0,8.0,3.5,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 21:00:00,80.0,70.0,6.5,3.5,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 22:00:00,70.0,80.0,6.2,3.1,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 23:00:00,80.0,80.0,7.2,3.7,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-06 23:59:00,80.0,80.0,6.9,3.7,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 01:00:00,70.0,70.0,6.6,3.7,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 02:00:00,80.0,80.0,5.9,3.3,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 03:00:00,70.0,70.0,6.6,3.5,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 04:00:00,80.0,80.0,6.7,3.3,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 05:00:00,60.0,70.0,4.6,2.3,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 06:00:00,50.0,70.0,6.1,3.0,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 07:00:00,70.0,70.0,6.2,3.5,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 08:00:00,70.0,80.0,7.8,3.7,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 09:00:00,90.0,70.0,6.7,3.3,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 10:00:00,80.0,80.0,9.2,4.4,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 11:00:00,80.0,80.0,9.9,5.2,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 12:00:00,40.0,80.0,10.7,5.5,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 13:00:00,80.0,80.0,11.4,5.4,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 14:00:00,50.0,70.0,9.3,5.2,201601,466880,¥§§B¯S,2016NEPARTAK
2016-07-07 15:00:00,40.0,70.0,8.2,4.5,201601,466880,¥§§B¯S,2016NEPARTAK
