ObsTime,WDGust,WDMax,WSGust,WSMax,num,stno,typhoon_cht_name,typhoon_name
2017-07-28 08:00:00,40,70.0,6.3,3.2,201709,466880,ез▓я,2017NESAT
2017-07-28 09:00:00,80,80.0,8.1,4.0,201709,466880,ез▓я,2017NESAT
2017-07-28 10:00:00,90,70.0,8.0,4.0,201709,466880,ез▓я,2017NESAT
2017-07-28 11:00:00,60,70.0,11.5,4.5,201709,466880,ез▓я,2017NESAT
2017-07-28 12:00:00,40,70.0,10.4,4.3,201709,466880,ез▓я,2017NESAT
2017-07-28 13:00:00,80,70.0,11.2,5.6,201709,466880,ез▓я,2017NESAT
2017-07-28 14:00:00,80,60.0,11.6,5.5,201709,466880,ез▓я,2017NESAT
2017-07-28 15:00:00,70,70.0,11.3,5.7,201709,466880,ез▓я,2017NESAT
2017-07-28 16:00:00,40,70.0,11.2,5.8,201709,466880,ез▓я,2017NESAT
2017-07-28 17:00:00,80,70.0,10.7,5.8,201709,466880,ез▓я,2017NESAT
2017-07-28 18:00:00,60,70.0,10.8,4.9,201709,466880,ез▓я,2017NESAT
2017-07-28 19:00:00,90,70.0,8.6,4.8,201709,466880,ез▓я,2017NESAT
2017-07-28 20:00:00,60,80.0,9.1,5.0,201709,466880,ез▓я,2017NESAT
2017-07-28 21:00:00,40,70.0,7.0,3.6,201709,466880,ез▓я,2017NESAT
2017-07-28 22:00:00,80,70.0,6.8,3.4,201709,466880,ез▓я,2017NESAT
2017-07-28 23:00:00,70,70.0,6.0,2.8,201709,466880,ез▓я,2017NESAT
2017-07-28 23:59:00,70,80.0,9.4,3.7,201709,466880,ез▓я,2017NESAT
2017-07-29 01:00:00,80,80.0,8.4,4.0,201709,466880,ез▓я,2017NESAT
2017-07-29 02:00:00,70,80.0,7.5,3.4,201709,466880,ез▓я,2017NESAT
2017-07-29 03:00:00,60,70.0,9.6,3.3,201709,466880,ез▓я,2017NESAT
2017-07-29 04:00:00,80,60.0,8.1,4.1,201709,466880,ез▓я,2017NESAT
2017-07-29 05:00:00,80,70.0,7.3,3.9,201709,466880,ез▓я,2017NESAT
2017-07-29 06:00:00,100,70.0,7.0,3.9,201709,466880,ез▓я,2017NESAT
2017-07-29 07:00:00,70,60.0,7.7,4.0,201709,466880,ез▓я,2017NESAT
2017-07-29 08:00:00,50,70.0,7.7,4.0,201709,466880,ез▓я,2017NESAT
2017-07-29 09:00:00,70,80.0,9.6,4.0,201709,466880,ез▓я,2017NESAT
2017-07-29 10:00:00,90,80.0,10.6,4.7,201709,466880,ез▓я,2017NESAT
2017-07-29 11:00:00,80,70.0,9.0,4.8,201709,466880,ез▓я,2017NESAT
2017-07-29 12:00:00,80,70.0,11.4,5.2,201709,466880,ез▓я,2017NESAT
2017-07-29 13:00:00,70,70.0,10.3,5.2,201709,466880,ез▓я,2017NESAT
2017-07-29 14:00:00,90,80.0,12.0,5.4,201709,466880,ез▓я,2017NESAT
2017-07-29 15:00:00,50,70.0,12.8,6.4,201709,466880,ез▓я,2017NESAT
2017-07-29 16:00:00,50,60.0,12.2,6.1,201709,466880,ез▓я,2017NESAT
2017-07-29 17:00:00,70,60.0,12.4,5.9,201709,466880,ез▓я,2017NESAT
2017-07-29 18:00:00,80,70.0,13.7,6.8,201709,466880,ез▓я,2017NESAT
2017-07-29 19:00:00,80,60.0,20.3,9.1,201709,466880,ез▓я,2017NESAT
2017-07-29 20:00:00,90,70.0,23.6,11.9,201709,466880,ез▓я,2017NESAT
2017-07-29 21:00:00,70,70.0,24.0,10.4,201709,466880,ез▓я,2017NESAT
2017-07-29 22:00:00,80,70.0,28.4,10.3,201709,466880,ез▓я,2017NESAT
2017-07-29 23:00:00,70,60.0,18.8,6.7,201709,466880,ез▓я,2017NESAT
2017-07-29 23:59:00,100,20.0,7.4,3.0,201709,466880,ез▓я,2017NESAT
2017-07-30 01:00:00,80,70.0,8.2,2.6,201709,466880,ез▓я,2017NESAT
2017-07-30 02:00:00,90,70.0,3.8,1.9,201709,466880,ез▓я,2017NESAT
2017-07-30 03:00:00,200,200.0,2.4,1.4,201709,466880,ез▓я,2017NESAT
2017-07-30 04:00:00,170,190.0,2.9,1.5,201709,466880,ез▓я,2017NESAT
2017-07-30 05:00:00,220,220.0,2.4,1.7,201709,466880,ез▓я,2017NESAT
2017-07-30 06:00:00,210,190.0,2.1,1.2,201709,466880,ез▓я,2017NESAT
2017-07-30 07:00:00,220,240.0,2.9,1.3,201709,466880,ез▓я,2017NESAT
2017-07-30 08:00:00,220,190.0,2.9,1.5,201709,466880,ез▓я,2017NESAT
2017-07-30 09:00:00,220,210.0,3.2,1.4,201709,466880,ез▓я,2017NESAT
2017-07-30 10:00:00,70,70.0,4.5,1.6,201709,466880,ез▓я,2017NESAT
2017-07-30 11:00:00,70,80.0,6.6,3.2,201709,466880,ез▓я,2017NESAT
2017-07-30 12:00:00,60,70.0,6.3,3.5,201709,466880,ез▓я,2017NESAT
2017-07-30 13:00:00,70,70.0,10.4,4.3,201709,466880,ез▓я,2017NESAT
2017-07-30 14:00:00,70,70.0,8.3,4.5,201709,466880,ез▓я,2017NESAT
2017-07-28 08:00:00,160,140.0,7.6,2.5,201709,466900,ез▓я,2017NESAT
2017-07-28 09:00:00,150,150.0,7.6,3.3,201709,466900,ез▓я,2017NESAT
2017-07-28 10:00:00,110,160.0,7.9,3.4,201709,466900,ез▓я,2017NESAT
2017-07-28 11:00:00,160,120.0,7.6,3.1,201709,466900,ез▓я,2017NESAT
2017-07-28 12:00:00,110,130.0,8.4,3.2,201709,466900,ез▓я,2017NESAT
2017-07-28 13:00:00,100,120.0,6.8,2.2,201709,466900,ез▓я,2017NESAT
2017-07-28 14:00:00,100,50.0,7.0,2.3,201709,466900,ез▓я,2017NESAT
2017-07-28 15:00:00,110,60.0,6.6,2.4,201709,466900,ез▓я,2017NESAT
2017-07-28 16:00:00,100,70.0,3.7,2.0,201709,466900,ез▓я,2017NESAT
2017-07-28 17:00:00,70,60.0,3.6,1.5,201709,466900,ез▓я,2017NESAT
2017-07-28 18:00:00,10,30.0,4.2,1.7,201709,466900,ез▓я,2017NESAT
2017-07-28 19:00:00,70,30.0,4.8,1.6,201709,466900,ез▓я,2017NESAT
2017-07-28 20:00:00,110,110.0,2.0,0.9,201709,466900,ез▓я,2017NESAT
2017-07-28 21:00:00,110,130.0,2.4,1.1,201709,466900,ез▓я,2017NESAT
2017-07-28 22:00:00,20,70.0,2.0,0.7,201709,466900,ез▓я,2017NESAT
2017-07-28 23:00:00,150,140.0,4.9,2.0,201709,466900,ез▓я,2017NESAT
2017-07-28 23:59:00,140,130.0,4.9,1.5,201709,466900,ез▓я,2017NESAT
2017-07-29 01:00:00,180,30.0,2.4,0.7,201709,466900,ез▓я,2017NESAT
2017-07-29 02:00:00,120,110.0,5.1,1.4,201709,466900,ез▓я,2017NESAT
2017-07-29 03:00:00,160,140.0,3.6,1.2,201709,466900,ез▓я,2017NESAT
